15.66139,48.71333,"Freizeitanlage Gallien; 3753 Pernegg"
15.95528,47.89139,"Restaurant Kohlhofmühl; 2763 Pernitz"
10.51194,46.95417,"Wohnmobilpark Via Claudiasee; 6542 Pfunds"
16.53917,48.36083,"Stellplatz am Tennisclub; 2211 Pillichsdorf"
16.83111,47.85028,"Weingut Sloboda; 7141 Podersdorf am See"
15.50278,48.20056,"Restaurant Heustadl; 3385 Prinzersdorf"
15.84306,47.79056,"Forellenhof Wanzenböck; 2734 Puchberg"
13.56639,48.06583,"Gasthof Holzwirt; 4850 Puchkirchen"
15.86639,48.70389,"Reisemobil-Stellplatz am Sportplatz; 3741 Pulkau"
15.29444,46.72361,"Eden Resort; 8544 Pölfing-Brunn"
14.71583,48.32333,"Campingplatz am Badesee; 4324 Rechberg/Naarntal"
14.69306,48.32500,"Camp Schartmühle; 4324 Rechberg/Naarntal"
15.82861,47.69139,"Gasthof Flackl-Wirt; 2651 Reichenau an der Rax"
15.95111,48.75417,"Wohnmobilstellplatz Retz; 2070 Retz"
15.99444,48.77000,"Weinbau und Heuriger Winter; 2074 Retzbach"
14.01667,48.52528,"Camping-Bauernhof Mühlviertelblick; 4122 Rohrbach"
15.65139,48.42000,"Weingut & Gästehaus Rosenberger; 3495 Rohrendorf bei Krems"
14.02028,46.59028,"Gasthof Roseggerhof; 9232 Rosegg"
15.51722,48.38750,"Wohnmobilplatz  A. Artner KG; 3602 Rossatz"
12.87361,47.40806,"Stellplatz am Hof Hirschbichler; 5760 Saalfelden am Steinernen Meer"
13.35167,46.79917,"Restaurant Auszeit; 9751 Sachsenburg"
15.21722,48.45167,"Wohnmobil-Stellplatz Mohndorf; 3525 Sallingberg"
15.54528,47.83944,"Reiterbauernhof MAHO; 3193 Sankt Aegyd a. N."
13.79167,47.15639,"Naturcamping am Peterbauernhof; 5580 Sankt Andrä"
13.07389,48.24556,"Reisemobilplatz Zum Mattigpiraten; 4963 Sankt Peter am Hart"
13.97194,47.91667,"Übernachtungsplatz Camping Schatzlmühle; 4644 Scharnstein"
14.08639,47.95083,"Bauernhof Eisterer; 4553 Schlierbach"
15.06889,48.79222,"Parkplatz am Kulturhaus; 3943 Schrems"
15.07083,48.79194,"Parkplatz der Stadthalle; 3943 Schrems"
15.20806,46.76389,"Badesee; 8541 Schwanberg"
13.70611,48.05556,"Gasthausbrauerei Zum Alfons; 4690 Schwanenstadt"
11.70389,47.34639,"Wohnmobil-Stellplatz Königfeldplatz; 6130 Schwaz"
15.69389,48.52056,"Freizeit- und Erholungszentrum; 3562 Schönberg am Kamp"
14.64111,48.04167,"Mostheuriger Schwingenschlögl; 3353 Seitenstetten"
15.68278,46.71611,"Dorfheuriger Thomas & Ulli; 8471 Spielfeld"
14.17028,47.77139,"Gasthof Steyrbrücke; 4572 St. Pankraz"
15.71444,46.90639,"Stellplatz an der Rosenhalle; 8083 St. Stefan im Rosental"
13.98806,47.08833,"Da Bräuhauser; 8862 Stadl an der Mur"
15.26833,46.89389,"Parkplatz in der Ettendorfer Straße; 8510 Stainz"
10.98694,47.27444,"Camping Eichenwald; 6422 Stams"
16.22000,48.39417,"Wohnmobilplatz am Hallenbad; 2000 Stockerau"
16.20417,48.38333,"Sportzentrum Alte Au; 2000 Stockerau"
13.43806,47.67306,"Gasthof Thoralm; 5350 Strobl"
11.89333,47.28083,"Hotel Rissbacher Hof; 6272 Stumm/Zillertal"
13.42528,48.40139,"Reisemobilplatz am Hotel Suben; 4975 Suben"
10.89139,46.85583,"Berggasthof Rofenhof; 6458 Sölden"
12.94528,47.30056,"Oberhasenberghof; 5660 Taxenbach"
11.35417,47.16083,"Sonnencamping Stubai; 6165 Telfes im Stubai"
14.98750,47.37500,"Rasthaus Traboch; 8772 Traboch"
15.75167,48.36222,"Gasthof Altenriederer am See; 3133 Traismauer"
13.60194,47.19000,"Landhotel Postgut; 5563 Tweng"
16.49306,48.40111,"Gasthaus Aicher; 2122 Ulrichskirchen"
16.09222,46.98111,"Siegl-Hof; 8352 Unterlamm"
11.25639,47.26056,"Branger Alm; 6175 Unterperfuss"
9.86889,47.08972,"Golmbahn-Parkplatz P 8; 6773 Vandans"
15.48972,47.57889,"Parkplatz am Gemeindeamt; 8663 Veitsch"
14.99167,47.48611,"Reisemobilplatz Vordernberg; 8794 Vordernberg"
14.98750,47.47333,"Gasthaus & Traktormuseum Eberhard; 8794 Vordernberg"
14.95861,48.28417,"Wohnmobilstellplatz am Badesee; 4391 Waldhausen"
15.22861,48.50556,"Kinderbauernhof Kurz; 3914 Waldhausen"
14.58056,48.05417,"Reisemobilplatz am Sportplatz; 3351 Weistrach"
14.89278,48.70389,"Parkplatz P 2; 3970 Weitra"
14.20556,47.56833,"Gasthof Weichbold; 8940 Weißenbach"
10.69444,47.13611,"Gasthaus Sonne; 6473 Wenns"
13.92889,46.62500,"Landgasthof Fruhmann; 9241 Wernberg"
16.64472,48.58500,"Liechtenstein Schloss Wilfersdorf; 2193 Wilfersdorf"
15.08056,48.18083,"Parkplatz Donaulände; 3370 Ybbs/Donau"
13.57722,46.74028,"Nagelerhof; 9713 Zlan"
15.15361,48.66361,"Wirtshaus zur Minidampfbahn; 3910 Zwettl"
2.92111,51.22389,"Reisemobil-Parkplatz; 8400 Oostende"
8.78417,47.57333,"Stellplatz Hubmannfarm; 8479 Altikon"
9.53444,47.38861,"Gasthaus Ziel; 9450 Altstätten"
8.59194,46.63194,"Gotthard Camping Andermatt; 6490 Andermatt"
9.40944,47.51722,"Wirtschaft zum Bühlhof; 9320 Arbon"
9.65611,46.46306,"Camping Bivio; 7457 Bivio"
6.87500,47.03056,"Hotel-Restaurant La Croisée; 2043 Boudevilliers"
9.06778,46.77028,"Talstation der Bergbahnen BWA AG; 7165 Brigels/Breil"
6.56194,46.84389,"Café-Restaurant Les Cluds; 1453 Bullet"
6.86944,46.17472,"Supermarkt Exhenry & Fils; 1874 Champéry"
6.72333,46.85083,"Parkplatz am Bahnhof; 1426 Concise-au-Lac"
6.64028,46.92806,"Centre sportif du Val-de-Travers; 2108 Couvet"
7.09944,47.47583,"Forest-Ranch; 2933 Damphreux"
